,SCIENTIFIC_NAME,COMMON_NAME,SPECIES,ANIMAL_TYPE,BIOREGION,PRIMARY_HABITAT,SECONDARY_HABITAT,FFG_ACT_STATUS,EPBC_ACT_STATUS,VIC_ADVISORY_STATUS,DIET,BIOLOGY,OBSERVATION_TIME,IMAGE
0,Anthochaera phrygia,Regent Honeyeater,Terrestrial fauna,Birds,VVP,Woodland - Grassy Eucalypt Woodland,Wetland,Listed,Critically Endangered,Critically endangered,Omnivore - insects and nectar,"Diurnally active(appear during the day), Oviparous(egg laying)","January, September",https://api.creativecommons.engineering/v1/thumbs/6042dcf8-a00a-4e7a-8c48-b4cd8f0ead1a
1,Aprasia parapulchella,Pink-tailed Worm-Lizard,Terrestrial fauna,Reptiles,VVP,Rocky areas - Western (Basalt) Plains,Tussock Plains,Listed,Vulnerable,Endangered,Carnivore - insects,"Diurnally active(appear during the day), Oviparous(egg laying)","September, October",https://live.staticflickr.com/7097/7314074824_55779e41a7_b.jpg
2,Botaurus poiciloptilus,Australasian Bittern,Terrestrial fauna,Birds,VVP,Woodland - Grassy Eucalypt Woodland,Wetland,Listed,Endangered,Endangered,Carnivore - fishes,"Diurnally active(appear during the day), Oviparous(egg laying)","June, July",https://collections.museumsvictoria.com.au/content/media/34/890334-small.jpg
3,Calidris ferruginea,Curlew Sandpiper,Terrestrial fauna,Waders,VVP,Wetland - seasonal herbaceous wetlands,Woodland,Listed,Critically Endangered,Endangered,"Carnivore - insects, invertebrates","Diurnally active(appear during the day), Migratory animals(not breed in Australia)","December, January",https://live.staticflickr.com/4402/36340480616_fed5359e45_b.jpg
4,Calidris tenuirostris,Great Knot,Terrestrial fauna,Waders,VVP,Wetland - seasonal herbaceous wetlands,Woodland,Listed,Critically Endangered,Endangered,"Carnivore - insects, invertebrates","Diurnally active(appear during the day), Migratory animals(not breed in Australia)","December, January",https://live.staticflickr.com/7063/6959877850_e48240bd92_b.jpg
5,Calyptorhynchus banksii graptogyne,Red-tailed Black-Cockatoo (south-eastern),Terrestrial fauna,Birds,VVP,Woodland - Grassy Eucalypt Woodland,Wetland,Listed,Endangered,Endangered,Herbivore - seeds,"Diurnally active(appear during the day), Oviparous(egg laying)","February, March",https://live.staticflickr.com/7068/6793648364_77f9ece44e_b.jpg
6,Cyclodomorphus praealtus,Alpine She-oak Skink,Terrestrial fauna,Reptiles,South Eastern Highlands,Rocky areas - Western (Basalt) Plains,Tussock Plains,Listed,Endangered,Critically endangered,Omnivore - insects and fruits,"Diurnally active(appear during the day), Viviparous(live young)","January, February",https://www.zoo.org.au/media/1690/1019_alpine_she-oak_skink_healesville_sanctuary.jpg
7,Dasyurus maculatus maculatus,Spot-tailed Quoll,Terrestrial fauna,Mammals,VVP,Woodland - Grassy Eucalypt Woodland,Wetland,Listed,Endangered,Endangered,Carnivore - Arthropods and insects,"Diurnally & Nocturnally active(All day), Oviparous(live young)","January, May",https://collections.museumsvictoria.com.au/content/media/10/994510-small.jpg
8,Delma impar,Striped Legless Lizard,Terrestrial fauna,Reptiles,VVP,Rocky areas - Western (Basalt) Plains,Tussock Plains,Listed,Vulnerable,Endangered,Carnivore - insects,"Diurnally active(appear during the day), Oviparous(egg laying)","October, November",https://collections.museumsvictoria.com.au/content/media/24/360074-large.jpg
9,Diomedea exulans,Wandering Albatross,Terrestrial fauna,Birds,VVP,Woodland - Grassy Eucalypt Woodland,Wetland,Listed,Vulnerable,Endangered,Omnivore - seeds and insects,"Diurnally active(appear during the day), Oviparous(egg laying)","March, May",https://upload.wikimedia.org/wikipedia/commons/9/99/SGI-2016-South_Georgia_%28Prion_Island%29%E2%80%93Wandering_albatross_%28Diomedea_exulans%29_06.jpg
